,Max Discharge
0,216.1473832938564
1,184.3968422109302
2,243.24000088242303
3,275.15999034195823
4,186.28878326317496
5,185.21795994552028
6,193.02098177448545
7,188.3262570979595
8,259.4212970454707
9,328.8550774775905
10,227.6082607728276
11,248.7025995384733
12,247.97529968602407
13,253.41938082664583
14,231.7238007806746
15,194.96030823650884
16,243.5233032471126
17,199.3097423156311
18,200.39476106552064
19,268.4971404846802
20,197.15254433316545
21,236.73609860103792
22,267.4191114349503
23,266.0259557052236
24,243.47602517994903
25,268.04687723725164
26,336.0784816195163
27,250.14440469480496
28,189.93417273466588
29,266.6711966129277
30,205.2176587609051
31,198.67195507263648
32,266.14854625516733
33,241.26611446317813
34,189.9720934007748
35,194.9065471940208
36,259.6274390999104
37,188.89775987815656
38,269.706923022835
39,332.1513806436304
40,711.6792432264774
41,204.22646594075587
42,246.46923548906668
43,248.8576941421053
44,199.55601685249096
45,244.92748399177347
46,151.84871413488398
47,249.779659115749
48,245.0666315788568
49,217.7234328491663
50,219.56779555442395
51,234.22078260198683
52,265.42977495066003
53,167.04179499188038
54,240.5155171369367
55,621.6136392073406
56,244.3498248699956
57,332.5387109224067
58,243.30956229065976
59,184.7633815729385
60,241.3989032757435
61,266.1692350142137
62,332.51810394155603
63,199.7611189042531
64,241.2391507488504
65,255.31559635876263
66,330.69387962149733
67,222.5539839308864
68,233.1254252252301
69,218.34250656901304
70,331.82931006390174
71,261.274566022517
72,385.1175714168288
73,332.5779224708487
74,273.44895912365223
75,223.84315467483228
76,383.89719119280727
77,268.69944155830666
78,196.1078658210945
79,257.82803723981027
80,201.10772019547665
81,245.87293197923933
82,252.84345179131145
83,247.22729433978984
84,198.309560050374
85,243.66939814484
86,235.66118192670385
87,202.5320075221749
88,241.9025628285764
89,383.9345234851957
90,319.25202780894404
91,213.6757351185998
92,249.24878118976324
93,153.24322117316106
94,266.0230369693696
95,578.4077864487774
96,227.733546482832
97,151.18075933970152
98,290.72555373219484
99,202.3110909277736
100,136.3810696143778
101,244.9099562309936
102,268.5221950137154
103,237.1844825728393
104,331.56353353665503
105,224.3619976348364
106,204.6135101517825
107,194.2389124371114
108,276.91581164004816
109,265.7570742986496
110,254.65255830348164
111,240.5540635294155
112,264.45105471817016
113,253.57980438120387
114,332.7631466119085
115,246.9264671280725
116,239.35729724172583
117,283.9976535434874
118,383.8862231354212
119,384.6070401085184
120,151.38373162621355
121,372.7597016526778
122,232.0683350623636
123,201.20103527302385
124,249.6886189788136
125,330.97543267759244
126,274.8353969085504
127,252.9036506557389
128,250.47301809938435
129,229.70279395672705
130,206.98746721787936
131,188.97177697980155
132,224.2213818613269
133,161.43675256281176
134,166.3959946402845
135,267.18858072174555
136,185.4256030691491
137,214.0082222733091
138,313.6687108432676
139,380.8569886412656
140,0.0
