,Max Discharge
0,270.2365843751191
1,122.89264222915298
2,199.6008934508713
3,318.42283892881204
4,274.2736872924307
5,310.3651788393212
6,510.4212778566811
7,250.2286359746215
8,257.7667763750879
9,190.2864596963233
10,77.56948029716366
11,308.4905092865659
12,267.77721218637345
13,236.08006392764665
14,198.7049011002608
15,185.80036244443565
16,117.68793212225631
17,251.9608153333193
18,246.03097715183864
19,260.540686691067
20,234.80821425279407
21,186.76896703939408
22,193.28115711628587
23,191.43142217069445
24,199.2586960045495
25,185.6120980162956
26,286.58596137821803
27,199.82227300031585
28,349.0606269015966
29,199.7750631268718
30,200.95723726918672
31,307.0352660136236
32,331.7695746442376
33,222.7538194876744
34,331.2455698829087
35,158.39871952758182
36,179.7675373206154
37,274.3693932244776
38,201.0147228253722
39,181.59358191368085
40,271.9411853405897
41,331.4124103005101
42,693.1826954994901
43,275.67595273742427
44,152.46204424017563
45,332.5169389101844
46,113.1406298581991
47,263.44319189097257
48,332.4771829920125
49,200.1283266108884
50,269.10009647159546
51,327.00135055901643
52,270.61699610476904
53,212.2698416280411
54,267.7097338412308
55,312.07840301738355
56,295.1894407299332
57,191.82916691392123
58,180.40562619444947
59,116.28955970549396
60,252.5176564114697
61,250.7372082521317
62,199.4523092389112
63,341.93820997024113
64,204.8480760253153
65,331.20253746989687
66,266.232026490301
67,332.4205835224542
68,332.1875433424536
69,134.57684293797905
70,203.48814315353488
71,280.4639278804973
72,198.8232909618797
73,188.7260532505044
74,188.05922604133897
75,330.6149732482758
76,214.01781754210856
77,70.67046569118727
78,120.21563249031782
79,200.0531751302436
80,177.13542116754138
81,213.45080518320623
82,276.5140074839883
83,161.64508528772933
84,361.3217290608941
85,304.8846113627835
86,168.93035478892972
87,283.72708609681274
88,208.969411890786
89,269.59304320345785
90,344.8604914376148
91,199.557148706796
92,183.9718993578696
93,155.24256607108202
94,276.7626550070308
95,331.8021820036108
96,253.23021296226165
97,242.13692619900465
98,205.8692532319629
99,0.0
