,Max Discharge
0,344.5347105151982
1,521.1775165478326
2,375.2574469866639
3,383.8678333220967
4,388.25258578857057
5,335.74776666527
6,333.685112861631
7,335.0132678267656
8,315.3757320388416
9,460.5280791546666
10,332.2241087189008
11,383.81598743758457
12,376.9439432228981
13,479.9542380383747
14,343.0388241831568
15,383.7306509892423
16,380.5848843718728
17,393.570129622875
18,383.9737998301866
19,364.537531236318
20,383.74212882685663
21,383.7517470951157
22,383.4191004795309
23,332.098115320189
24,383.8481021627592
25,385.49404764539065
26,383.93390817069394
27,379.2860521988345
28,383.8365731137593
29,360.8766673404005
30,332.059525248189
31,356.8802356452907
32,385.0023521141399
33,383.8044304743879
34,383.8516654955887
35,334.06903020525044
36,359.5567107810692
37,261.17865250105467
38,345.78979691768245
39,391.3990729823929
40,325.81241383365267
41,332.68835456438615
42,562.9756967795907
43,386.2590682056709
44,383.7560157750365
45,331.2244080230674
46,383.7631468809138
47,383.859150026834
48,383.8109832390475
49,331.9872385618702
50,333.3648636681468
51,335.74188851447656
52,383.86915489369255
53,0.0
