,Max Discharge
0,268.7749804010391
1,332.59172583610496
2,607.0505350620891
3,689.2536977744059
4,778.3691183856195
5,783.9010512728889
6,619.4379594699571
7,210.70866667165905
8,600.6148448902472
9,236.75469136858104
10,279.95055210549083
11,404.2614068311465
12,375.5569718504898
13,330.63734330727505
14,385.5494287887879
15,570.5599611509292
16,306.2153198217087
17,242.6871854797438
18,317.1265965193977
19,754.6693927038817
20,743.603072917501
21,460.9063570185262
22,778.7366429725244
23,781.8413279097673
24,784.8870654302019
25,274.364922282791
26,312.5669200203494
27,0.0
