,Max Discharge
0,228.0223040680393
1,275.61501660061924
2,280.12261772208166
3,266.733654712219
4,330.531880830302
5,271.43933266234103
6,280.1820529081228
7,246.44891197946063
8,265.6503181794368
9,247.0958762074601
10,192.08242769250563
11,254.4547596397045
12,266.269352245541
13,488.4824107796867
14,348.15723620131905
15,244.4792615517021
16,263.30722540311467
17,265.8892864678955
18,268.01389202378925
19,164.32735832836715
20,208.1322428197805
21,268.7926628262757
22,250.27146857812585
23,263.31653606972543
24,217.07656053711463
25,244.45122849010696
26,234.5775026038846
27,251.30572513705843
28,259.49921024553765
29,253.2798838555453
30,243.90362222106128
31,383.7726638932152
32,368.90936079532406
33,331.74630702453004
34,249.9467973200373
35,362.2857351375369
36,266.2461980735655
37,266.0347558098732
38,362.33277614042737
39,684.8928085287971
40,260.182590210784
41,267.8802478171786
42,279.1426950735923
43,268.7332339904351
44,213.28686897021367
45,245.35002425477165
46,238.2545910582515
47,271.4105959215426
48,243.1172670960545
49,253.8833300646412
50,249.7421097510465
51,548.9049982315383
52,239.522779942456
53,206.24608026778017
54,262.948829160784
55,187.5073858166524
56,240.9432933397649
57,141.84264430924202
58,250.59071923228868
59,202.02763652730968
60,246.1627501393816
61,267.1603911950232
62,384.8344415711163
63,250.60897045553625
64,434.7981617856767
65,199.0259916910196
66,253.0867010636485
67,240.3547912906596
68,355.8351253413232
69,90.62196729624635
70,240.40661826361185
71,246.5375851553984
72,283.98923973717024
73,290.232225248606
74,304.7120966438624
75,304.3046521511038
76,268.80934206570754
77,201.33586585353203
78,276.1587479591455
79,0.0
