date,days above zero temp,Precipitation 2 days,snowpack winter months,Max Discharge
1993-07-13,83.0,54.667362000000004,13.035959476374998,239.1571
1994-06-30,52.0,18.541507,8.108350052124997,185.7125
1995-06-02,24.0,27.164099,10.626452866916662,383.9852
1996-08-28,116.0,29.583591,6.413787110124996,113.08
1997-07-03,65.0,22.975514,9.724399291666662,265.3063
1998-06-29,68.0,17.915976,4.779758720041666,199.2515
1999-06-29,64.0,25.66413,8.308645130416664,248.6613
2000-05-18,30.0,8.17342,11.143735405416663,202.0762333333333
2003-08-16,110.0,23.063913000000003,10.500377274249995,150.4878625
2004-11-28,174.0,10.1710861,9.431790933666665,629.3636600000001
2005-04-10,6.0,2.737858,11.77322410548333,332.83042
2006-06-14,35.0,0.0,5.137457554462497,118.20812608695653
2007-07-06,76.0,22.933497,9.663453616333332,396.5825125
2008-06-04,37.0,0.0,9.838008175699997,253.94344583333336
2009-07-21,95.0,39.082977,8.345341809041663,164.67359583333334
2010-10-07,148.0,29.398936,8.648972501708329,207.3703708333333
2011-06-11,57.0,74.16480200000001,3.9786119401249964,792.5425416666667
2012-12-14,141.0,3.616965,8.06657891830833,192.24236928571423
2013-05-23,20.0,46.519085000000004,10.68738129845833,521.2578291666667
2014-05-25,31.0,8.982795,11.927995841541662,383.7273708333333
2015-07-07,51.0,42.813773000000005,6.9563404146958305,330.526575
2016-06-27,53.0,19.860373,5.764034843549997,189.13297291666663
2017-06-11,48.0,25.088701999999998,6.555595897816662,183.9206625
2018-05-11,19.0,16.915888000000002,11.132567730374998,281.47088260869566
2019-05-23,33.0,17.778914999999998,4.779365097874997,222.0396
2020-06-22,48.0,17.76537298,11.51034435039583,269.1899681818182
2021-02-15,0.0,3.062708,7.794028231212496,87.87581875000001
2022-06-29,67.0,37.09015,7.839533898249997,243.71071666666668
2023-08-09,97.0,118.60298,5.745572934337497,746.9104291666666
2024-05-29,37.0,20.3115826,4.464782883249996,199.89671666666663
2025-09-15,161.0,13.312659,5.5466692178916635,154.1802875
