Days,Effective Precipitation (mm/day),Evapotranspiration (mm/day),Actual Evapotranspiration (mm/day),Storage (mm),Runoff (mm/day),Runoff in Area (m^3/day)
2197,0.000,0.000,0.000,220.772,0.221,331489.184
2198,0.000,0.000,0.000,220.551,0.221,331157.694
2199,0.000,0.000,0.000,220.330,0.221,330826.537
2200,0.000,0.000,0.000,220.110,0.220,330495.710
2201,0.000,0.000,0.000,219.890,0.220,330165.214
2202,0.000,0.000,0.000,219.670,0.220,329835.049
2203,0.000,0.000,0.000,219.450,0.220,329505.214
2204,0.000,0.000,0.000,219.231,0.219,329175.709
2205,0.000,0.000,0.000,219.012,0.219,328846.533
2206,0.000,0.000,0.000,218.793,0.219,328517.687
2207,0.000,0.000,0.000,218.574,0.219,328189.169
2208,0.000,0.000,0.000,218.355,0.219,327860.980
2209,0.000,0.000,0.000,218.137,0.218,327533.119
2210,5.273,0.000,0.000,219.948,0.218,327205.586
2211,3.506,0.000,0.000,221.810,0.664,996454.550
2212,0.000,0.000,0.000,221.885,1.023,1534567.875
2213,0.000,0.000,0.000,220.896,0.989,1483228.991
2214,0.000,0.000,0.000,220.175,0.721,1080832.380
2215,0.000,0.000,0.000,219.664,0.511,767039.109
2216,0.000,0.000,0.000,219.316,0.348,522356.367
2217,0.000,0.000,0.000,219.097,0.221,331579.763
2218,0.000,0.000,0.000,218.877,0.219,328644.833
2219,0.000,0.000,0.000,218.659,0.219,328316.188
2220,0.000,0.000,0.000,218.440,0.219,327987.872
2221,0.000,0.000,0.000,218.221,0.218,327659.884
2222,0.000,2.523,1.231,221.038,0.218,327332.224
2223,0.000,8.178,4.088,228.662,0.886,1328473.186
2224,3.599,4.259,2.236,232.940,2.512,3768262.936
2225,9.247,0.000,0.000,234.078,3.403,5103763.721
2226,0.000,0.000,0.000,230.476,3.602,5403276.463
2227,0.000,0.000,0.000,227.717,2.759,4138573.116
2228,0.000,0.000,0.000,225.615,2.101,3152180.489
2229,0.000,0.000,0.000,224.027,1.589,2382870.146
2230,0.000,0.000,0.000,222.838,1.189,1782883.909
2231,0.000,0.000,0.000,221.962,0.877,1314970.399
2232,0.000,0.000,0.000,221.328,0.633,950073.540
2233,0.000,0.000,0.000,220.884,0.444,665529.594
2234,0.000,0.000,0.000,220.664,0.296,443660.843
2235,0.000,0.000,0.000,220.443,0.221,330995.883
2236,0.000,0.000,0.000,220.223,0.220,330664.887
2237,0.000,0.000,0.000,220.003,0.220,330334.222
2238,0.000,0.000,0.000,219.783,0.220,330003.888
2239,0.000,0.000,0.000,219.563,0.220,329673.884
2240,0.000,0.000,0.000,219.343,0.220,329344.210
2241,0.000,0.000,0.000,219.124,0.219,329014.866
2242,0.000,0.000,0.000,218.905,0.219,328685.851
2243,0.000,0.000,0.000,218.686,0.219,328357.165
2244,0.000,0.000,0.000,218.467,0.219,328028.808
2245,0.000,0.000,0.000,218.249,0.218,327700.779
2246,0.000,0.000,0.000,218.030,0.218,327373.078
2247,0.000,0.000,0.000,217.812,0.218,327045.705
2248,0.000,0.000,0.000,217.595,0.218,326718.660
2249,0.000,0.000,0.000,217.377,0.218,326391.941
2250,0.000,0.000,0.000,217.160,0.217,326065.549
2251,0.000,0.000,0.000,216.942,0.217,325739.483
2252,0.000,0.000,0.000,216.726,0.217,325413.744
2253,0.000,0.000,0.000,216.509,0.217,325088.330
2254,0.000,0.000,0.000,216.292,0.217,324763.242
2255,0.000,0.000,0.000,216.076,0.216,324438.479
2256,0.000,0.000,0.000,215.860,0.216,324114.040
2257,0.000,0.000,0.000,215.644,0.216,323789.926
2258,0.000,0.000,0.000,215.428,0.216,323466.136
2259,0.000,0.000,0.000,215.213,0.215,323142.670
2260,0.000,0.000,0.000,214.998,0.215,322819.527
2261,0.000,0.000,0.000,214.783,0.215,322496.708
2262,0.000,0.000,0.000,214.568,0.215,322174.211
2263,0.000,0.000,0.000,214.353,0.215,321852.037
2264,0.000,0.000,0.000,214.139,0.214,321530.185
2265,0.000,0.000,0.000,213.925,0.214,321208.655
2266,0.000,0.000,0.000,213.711,0.214,320887.446
2267,0.000,0.000,0.000,213.497,0.214,320566.559
2268,0.000,0.000,0.000,213.284,0.213,320245.992
2269,0.000,0.000,0.000,213.071,0.213,319925.746
2270,0.000,0.000,0.000,212.857,0.213,319605.820
2271,0.000,0.000,0.000,212.645,0.213,319286.215
2272,0.000,0.000,0.000,212.432,0.213,318966.928
2273,0.000,0.000,0.000,212.220,0.212,318647.961
2274,0.000,0.000,0.000,212.007,0.212,318329.313
2275,0.000,0.000,0.000,211.795,0.212,318010.984
2276,0.000,0.000,0.000,211.584,0.212,317692.973
2277,0.000,0.000,0.000,211.372,0.212,317375.280
2278,0.000,0.000,0.000,211.161,0.211,317057.905
2279,0.000,0.000,0.000,210.949,0.211,316740.847
2280,0.000,1.556,0.875,213.362,0.211,316424.106
2281,0.000,0.175,0.100,214.315,0.788,1181821.056
2282,0.872,1.533,0.883,216.880,0.945,1417687.283
2283,0.000,1.856,1.087,218.933,1.457,2185777.742
2284,0.000,0.000,0.000,218.601,1.856,2784610.704
2285,0.000,0.000,0.000,216.870,1.731,2596829.416
2286,0.000,0.000,0.000,215.572,1.298,1947243.445
2287,9.612,1.248,0.748,221.962,0.960,1440644.672
2288,2.502,0.078,0.048,222.618,2.314,3471365.031
2289,1.348,0.000,0.000,221.117,2.407,3609840.338
2290,7.595,2.839,1.791,227.621,2.024,3036309.558
2291,1.577,1.061,0.689,227.994,3.403,5104953.370
2292,0.000,0.000,0.000,224.560,3.433,5150148.833
2293,0.000,0.000,0.000,221.934,2.626,3939378.934
2294,0.000,0.000,0.000,219.938,1.997,2995056.150
2295,0.000,0.000,0.000,218.432,1.506,2258562.037
2296,0.000,0.000,0.000,217.309,1.123,1684174.212
2297,0.000,0.000,0.000,216.485,0.824,1236229.212
2298,0.000,0.000,0.000,215.894,0.591,886909.538
2299,0.000,0.000,0.000,215.484,0.410,614517.542
2300,0.000,0.000,0.000,215.269,0.268,402129.057
2301,0.000,0.000,0.000,215.053,0.215,322903.035
2302,1.519,0.000,0.000,215.984,0.215,322580.132
2303,0.000,0.078,0.052,217.427,0.467,700453.124
2304,0.000,1.872,1.248,220.713,0.733,1099105.218
2305,0.000,1.482,0.998,222.908,1.404,2106317.823
2306,0.000,2.410,1.639,225.811,1.836,2753763.713
2307,0.000,2.796,1.921,228.642,2.423,3634826.350
2308,0.000,3.217,2.234,231.471,2.995,4492057.856
2309,0.000,1.915,1.344,232.190,3.566,5348636.213
2310,0.000,0.000,0.000,228.517,3.673,5509115.114
2311,0.000,0.000,0.000,225.704,2.814,4220398.327
2312,0.000,0.000,0.000,223.560,2.144,3215275.945
2313,0.000,0.000,0.000,221.939,1.621,2431357.122
2314,0.000,0.000,0.000,220.726,1.213,1819976.998
2315,0.000,0.000,0.000,219.830,0.895,1343176.982
2316,0.000,0.000,0.000,220.640,0.648,971349.376
2317,0.000,1.431,1.018,223.604,0.775,1162191.887
2318,0.000,1.638,1.174,226.256,1.376,2064285.484
2319,0.000,0.000,0.000,224.347,1.909,2863336.356
2320,0.000,0.000,0.000,222.909,1.438,2157378.544
2321,0.000,0.000,0.000,221.838,1.071,1606807.474
2322,0.000,0.000,0.000,221.053,0.785,1177437.988
2323,0.000,0.000,0.000,220.491,0.562,842605.660
2324,0.000,0.000,0.000,220.103,0.388,581512.241
2325,0.000,0.000,0.000,219.883,0.252,377935.094
2326,0.000,0.000,0.000,219.664,0.220,329825.179
2327,0.000,0.000,0.000,219.710,0.220,329495.354
2328,0.000,1.521,1.101,223.168,0.278,416993.009
2329,0.000,6.322,4.609,232.227,1.029,1542796.369
2330,0.000,8.580,6.331,242.388,2.971,4456426.508
2331,0.000,10.526,7.870,253.093,5.156,7733952.160
2332,4.544,8.174,6.196,261.226,7.461,11191133.011
2333,1.286,1.369,1.056,256.760,9.200,13799437.829
2334,0.413,1.427,1.109,252.923,8.167,12250298.362
2335,1.824,2.227,1.741,251.949,7.272,10908676.657
2336,0.000,1.825,1.439,249.634,7.008,10511973.699
2337,3.239,0.729,0.578,248.347,6.449,9673038.555
2338,0.000,3.147,2.517,248.850,6.115,9173200.749
2339,9.019,5.082,4.086,253.723,6.176,9264060.224
2340,0.000,4.360,3.537,246.525,7.198,10797037.668
2341,0.000,1.774,1.423,240.960,5.565,8346795.838
2342,0.000,2.687,2.145,236.670,4.290,6435682.105
2343,0.000,4.976,3.945,233.373,3.297,4945088.211
2344,0.000,6.213,4.862,230.851,2.522,3782499.717
2345,6.172,4.579,3.525,232.574,1.917,2875755.362
2346,2.123,7.145,5.482,231.575,2.246,3369658.785
2347,9.453,3.986,3.011,235.066,1.977,2965679.624
2348,1.282,4.840,3.668,233.115,2.696,4043411.719
2349,3.604,4.633,3.474,232.967,2.217,3325041.193
2350,0.142,6.696,4.987,230.914,2.135,3202161.403
2351,14.990,6.482,4.744,237.679,1.634,2450324.001
2352,0.000,6.458,4.758,234.606,3.073,4608810.396
2353,0.000,7.749,5.613,232.259,2.347,3520872.362
2354,9.551,9.555,6.781,235.666,1.782,2672354.695
2355,13.785,8.716,6.131,240.604,2.482,3722595.611
2356,0.000,9.407,6.622,237.085,3.519,5278597.040
2357,0.000,8.646,5.938,234.389,2.696,4043601.499
2358,0.000,7.336,4.925,232.336,2.054,3080378.682
2359,0.000,6.724,4.428,230.783,1.553,2329138.515
2360,0.000,3.518,2.276,229.621,1.162,1743244.741
2361,6.236,6.556,4.203,231.820,0.858,1286321.081
2362,6.786,7.523,4.803,233.839,1.292,1938624.905
2363,5.602,1.307,0.830,234.871,1.688,2531830.459
2364,0.000,4.384,2.807,233.005,1.866,2799017.881
2365,0.000,6.154,3.895,231.598,1.407,2110117.330
2366,0.000,6.856,4.270,230.550,1.049,1572848.016
2367,0.000,9.910,6.062,229.780,0.769,1153850.995
2368,6.406,8.011,4.774,232.146,0.551,827106.289
2369,4.963,5.351,3.171,233.370,1.023,1534883.184
2370,18.117,9.571,5.660,240.311,1.244,1865955.298
2371,2.584,8.736,5.264,238.779,2.723,4084110.289
2372,2.775,8.697,5.153,237.698,2.337,3505653.887
2373,1.395,7.593,4.427,236.268,2.051,3076450.411
2374,0.000,7.964,4.567,234.580,1.688,2532177.883
2375,0.000,7.094,3.984,233.311,1.268,1902710.016
2376,2.087,8.861,4.885,233.249,0.941,1411797.468
2377,2.165,10.705,5.799,233.265,0.879,1318850.882
2378,0.000,8.908,4.720,232.430,0.835,1251951.004
2379,0.000,6.852,3.547,231.827,0.603,904422.171
2380,0.000,9.493,4.826,231.405,0.422,633421.781
2381,0.000,16.427,8.145,231.174,0.281,422113.504
2382,0.000,17.222,8.175,230.942,0.231,346760.435
2383,0.000,13.650,6.189,230.712,0.231,346413.675
2384,0.000,14.761,6.455,230.481,0.231,346067.261
2385,0.000,16.918,7.114,230.250,0.230,345721.194
2386,21.929,11.368,4.570,236.279,0.230,345375.472
2387,4.223,7.710,3.313,236.054,1.607,2410412.876
2388,3.617,6.837,2.929,235.725,1.509,2263933.569
2389,1.136,9.434,4.030,234.705,1.389,2083120.859
2390,3.551,10.167,4.257,234.721,1.116,1674646.933
2391,0.473,9.231,3.821,233.798,1.072,1607738.079
2392,13.710,10.456,4.233,237.201,0.821,1231254.644
2393,9.387,10.819,4.527,238.670,1.522,2282363.942
2394,2.695,8.553,3.621,237.742,1.797,2695308.913
2395,2.210,4.731,1.981,236.902,1.545,2317220.959
2396,0.555,8.510,3.552,235.766,1.312,1968232.888
2397,1.489,5.733,2.346,235.215,1.015,1521837.554
2398,0.000,6.259,2.540,234.370,0.846,1268477.883
2399,0.000,9.836,3.926,233.758,0.612,917940.275
2400,0.000,12.882,5.010,233.328,0.430,644592.413
2401,0.000,13.627,5.122,233.095,0.288,431452.482
2402,0.000,14.676,5.321,232.862,0.233,349642.115
2403,0.000,14.453,5.040,232.629,0.233,349292.473
2404,0.000,14.656,4.919,232.396,0.233,348943.181
2405,0.000,15.042,4.856,232.164,0.232,348594.238
2406,0.000,15.230,4.724,231.932,0.232,348245.643
2407,0.000,14.411,4.293,231.700,0.232,347897.398
2408,0.000,14.134,4.052,231.468,0.232,347549.500
2409,0.000,9.976,2.755,231.236,0.231,347201.951
2410,4.700,8.732,2.349,231.514,0.231,346854.749
2411,6.911,10.444,2.847,232.599,0.343,514283.188
2412,7.998,6.817,1.905,233.760,0.534,800534.998
2413,0.769,7.511,2.185,233.189,0.741,1111893.313
2414,0.000,4.462,1.280,232.621,0.568,851471.353
2415,0.000,5.082,1.441,232.226,0.395,592423.488
2416,0.000,5.370,1.502,231.994,0.260,390437.877
2417,0.021,6.501,1.793,231.762,0.232,347991.157
2418,0.000,8.447,2.291,231.530,0.232,347643.166
2419,0.000,8.014,2.126,231.299,0.232,347295.522
2420,0.000,8.498,2.207,231.068,0.231,346948.227
2421,0.208,7.679,1.950,230.836,0.231,346601.279
2422,0.000,6.911,1.723,230.606,0.231,346254.677
2423,0.000,6.454,1.580,230.375,0.231,345908.423
2424,0.000,4.583,1.103,230.145,0.230,345562.514
2425,0.000,6.205,1.476,229.914,0.230,345216.952
2426,0.000,7.835,1.834,229.685,0.230,344871.735
2427,0.000,8.798,2.017,229.455,0.230,344526.863
2428,5.788,8.089,1.812,229.756,0.229,344182.336
2429,3.239,11.131,2.580,229.979,0.346,519039.745
2430,0.000,9.941,2.307,229.667,0.347,519846.060
2431,0.855,12.223,2.763,229.437,0.230,344500.146
2432,0.000,9.649,2.129,229.208,0.229,344155.646
2433,0.000,5.444,1.171,228.978,0.229,343811.491
2434,3.287,5.156,1.094,228.827,0.229,343467.679
2435,0.000,12.940,2.801,228.598,0.246,368581.816
2436,0.000,14.496,3.032,228.369,0.229,342896.804
2437,0.000,10.858,2.185,228.141,0.228,342553.907
2438,0.000,11.462,2.242,227.913,0.228,342211.353
2439,0.000,11.669,2.214,227.685,0.228,341869.142
2440,7.631,11.166,2.054,228.067,0.228,341527.272
2441,0.000,6.646,1.301,227.706,0.362,542540.684
2442,1.866,7.391,1.422,227.478,0.233,350076.412
2443,0.000,5.394,1.040,227.250,0.227,341216.935
2444,0.000,8.467,1.609,227.023,0.227,340875.718
2445,0.000,10.526,1.957,226.796,0.227,340534.842
2446,0.000,10.631,1.922,226.569,0.227,340194.307
2447,6.004,7.823,1.375,226.690,0.227,339854.113
2448,1.490,8.471,1.574,226.493,0.303,453919.083
2449,1.303,9.118,1.687,226.266,0.233,349409.978
2450,19.512,6.649,1.220,228.294,0.226,339399.232
2451,2.251,7.406,1.660,227.954,0.722,1082962.019
2452,2.362,6.314,1.418,227.757,0.598,897113.747
2453,0.000,6.127,1.385,227.252,0.506,758750.828
2454,2.310,8.194,1.823,227.295,0.346,518401.817
2455,4.295,6.103,1.359,227.622,0.306,459297.116
2456,0.000,6.860,1.567,227.291,0.349,523671.272
2457,2.050,7.125,1.599,227.063,0.227,340936.010
2458,9.527,7.176,1.612,228.006,0.227,340595.074
2459,6.126,6.026,1.452,228.640,0.484,726152.969
2460,4.237,5.468,1.369,228.868,0.575,862010.226
2461,6.993,5.246,1.341,229.646,0.576,864177.051
2462,0.000,3.385,0.903,228.948,0.699,1047876.382
2463,1.629,2.640,0.698,228.778,0.496,744254.017
2464,11.192,2.839,0.755,230.625,0.410,615254.064
2465,7.138,0.000,0.000,231.413,0.768,1151681.491
2466,3.864,0.000,0.000,231.405,0.893,1338848.639
2467,0.000,0.569,0.176,230.563,0.842,1263604.413
2468,0.000,0.000,0.000,229.954,0.609,912886.599
2469,0.000,0.000,0.000,229.528,0.426,639399.428
2470,0.000,0.000,0.000,229.299,0.284,426152.088
2471,0.000,0.000,0.000,229.069,0.229,343948.195
2472,0.000,0.000,0.000,228.840,0.229,343604.247
2473,0.000,0.000,0.000,228.612,0.229,343260.643
2474,2.663,0.000,0.000,228.684,0.229,342917.382
2475,0.000,0.000,0.000,228.503,0.295,441816.881
2476,0.000,0.000,0.000,228.275,0.239,358452.491
2477,0.000,0.320,0.102,228.046,0.228,342411.989
2478,0.000,0.526,0.168,227.818,0.228,342069.577
2479,0.000,0.000,0.000,227.591,0.228,341727.507
2480,0.000,0.000,0.000,227.363,0.228,341385.780
2481,0.000,0.000,0.000,227.136,0.227,341044.394
2482,0.000,0.000,0.000,226.908,0.227,340703.349
2483,0.000,0.000,0.000,226.682,0.227,340362.646
2484,0.000,0.000,0.000,226.455,0.227,340022.283
2485,0.000,0.000,0.000,226.228,0.226,339682.261
2486,0.000,0.000,0.000,226.002,0.226,339342.579
2487,0.685,0.000,0.000,226.112,0.226,339003.236
2488,1.837,0.000,0.000,226.897,0.300,449614.908
2489,0.000,0.000,0.000,226.904,0.448,672149.319
2490,0.000,0.000,0.000,226.503,0.401,600892.097
2491,0.846,0.000,0.000,226.659,0.263,395148.203
2492,0.000,0.538,0.185,227.154,0.310,465570.725
2493,2.571,3.350,1.173,227.453,0.385,577745.758
2494,1.874,2.508,0.883,227.553,0.402,602929.410
2495,4.759,2.792,0.986,228.455,0.375,562315.638
2496,0.624,0.246,0.088,228.101,0.525,786936.038
2497,0.000,0.000,0.000,227.703,0.398,596881.313
2498,0.000,2.878,1.038,227.476,0.262,392418.959
2499,1.399,2.129,0.762,227.248,0.227,341213.684
2500,1.429,0.000,0.000,227.021,0.227,340872.470
2501,0.125,0.000,0.000,226.794,0.227,340531.598
2502,0.000,0.000,0.000,226.567,0.227,340191.066
2503,0.000,0.000,0.000,226.341,0.227,339850.875
2504,0.000,0.000,0.000,226.114,0.226,339511.024
2505,0.229,4.274,1.545,225.888,0.226,339171.513
2506,0.000,3.604,1.290,225.662,0.226,338832.342
2507,0.000,1.240,0.440,225.437,0.226,338493.510
2508,0.000,0.000,0.000,225.211,0.225,338155.016
2509,0.000,0.000,0.000,224.986,0.225,337816.861
2510,0.000,0.000,0.000,224.761,0.225,337479.044
2511,0.000,0.000,0.000,224.536,0.225,337141.565
2512,0.000,0.000,0.000,224.312,0.225,336804.424
2513,0.000,0.000,0.000,224.087,0.224,336467.619
2514,0.000,0.000,0.000,223.863,0.224,336131.152
2515,1.365,0.000,0.000,224.185,0.224,335795.020
2516,0.000,0.000,0.000,223.866,0.344,515482.472
2517,0.000,0.000,0.000,223.642,0.224,335798.766
2518,5.357,0.000,0.000,225.301,0.224,335462.967
2519,0.000,0.000,0.000,224.663,0.638,956362.709
2520,0.000,0.000,0.000,224.216,0.448,671530.837
2521,0.000,0.000,0.000,223.992,0.300,449436.408
2522,0.000,0.000,0.000,223.768,0.224,335987.600
2523,0.000,0.000,0.000,223.544,0.224,335651.613
2524,0.000,0.000,0.000,223.320,0.224,335315.961
2525,0.000,0.000,0.000,223.097,0.223,334980.645
2526,0.000,0.000,0.000,222.874,0.223,334645.665
2527,0.000,0.000,0.000,222.651,0.223,334311.019
2528,0.000,0.000,0.000,222.428,0.223,333976.708
2529,0.000,0.000,0.000,222.206,0.222,333642.731
2530,0.000,0.000,0.000,221.984,0.222,333309.088
2531,0.000,0.000,0.000,221.762,0.222,332975.779
2532,0.000,0.000,0.000,221.540,0.222,332642.804
2533,0.000,0.000,0.000,221.319,0.222,332310.161
2534,0.000,0.000,0.000,221.097,0.221,331977.851
2535,0.000,0.000,0.000,220.876,0.221,331645.873
2536,0.000,0.000,0.000,220.655,0.221,331314.227
2537,0.000,0.000,0.000,220.435,0.221,330982.913
2538,0.000,0.000,0.000,220.214,0.220,330651.930
2539,0.000,0.000,0.000,219.994,0.220,330321.278
2540,0.000,0.000,0.000,219.774,0.220,329990.957
2541,0.000,0.000,0.000,219.554,0.220,329660.966
2542,0.000,0.000,0.000,219.335,0.220,329331.305
2543,0.000,0.000,0.000,219.115,0.219,329001.973
2544,0.000,0.000,0.000,218.896,0.219,328672.971
2545,0.000,0.000,0.000,218.677,0.219,328344.298
2546,0.000,0.000,0.000,218.459,0.219,328015.954
2547,0.000,0.000,0.000,218.240,0.218,327687.938
2548,0.000,0.000,0.000,218.022,0.218,327360.250
2549,0.000,0.000,0.000,217.804,0.218,327032.890
2550,0.000,0.000,0.000,217.586,0.218,326705.857
2551,0.000,0.000,0.000,217.369,0.218,326379.151
2552,0.000,0.000,0.000,217.151,0.217,326052.772
2553,0.000,0.000,0.000,216.934,0.217,325726.719
2554,0.000,0.000,0.000,216.717,0.217,325400.993
2555,0.000,0.000,0.000,216.500,0.217,325075.592
2556,0.000,0.000,0.000,216.284,0.217,324750.516
2557,0.000,0.000,0.000,216.068,0.216,324425.765
2558,0.000,0.000,0.000,215.851,0.216,324101.340
2559,0.000,0.000,0.000,215.636,0.216,323777.238
2560,0.000,0.000,0.000,215.420,0.216,323453.461
2561,0.000,0.000,0.000,215.205,0.215,323130.008
2562,0.000,0.000,0.000,214.989,0.215,322806.878
2563,0.000,0.000,0.000,214.774,0.215,322484.071
2564,0.000,0.000,0.000,214.560,0.215,322161.587
2565,0.000,0.000,0.000,214.345,0.215,321839.425
2566,0.000,0.000,0.000,214.131,0.214,321517.586
2567,1.159,0.000,0.000,214.350,0.214,321196.068
2568,0.000,0.000,0.000,214.136,0.309,463846.255
2569,0.000,0.000,0.000,213.922,0.214,321203.867
2570,0.000,0.000,0.000,213.708,0.214,320882.663
2571,0.000,0.000,0.000,213.494,0.214,320561.781
2572,0.000,0.000,0.000,213.281,0.213,320241.219
2573,0.000,0.000,0.000,213.067,0.213,319920.978
2574,0.000,0.000,0.000,212.854,0.213,319601.057
2575,0.000,0.000,0.000,212.641,0.213,319281.455
2576,0.000,1.985,0.764,214.362,0.213,318962.174
2577,0.000,1.958,0.779,216.169,0.638,956491.589
2578,0.000,0.000,0.000,215.186,0.983,1474921.769
2579,0.000,0.000,0.000,214.471,0.715,1072474.885
2580,0.000,0.000,0.000,213.965,0.506,758644.280
2581,0.000,0.000,0.000,213.623,0.343,513934.294
2582,0.000,0.000,0.000,213.409,0.215,323138.314
2583,0.000,0.000,0.000,213.196,0.213,320113.364
2584,0.000,0.000,0.000,212.982,0.213,319793.250
2585,0.000,0.000,0.000,212.769,0.213,319473.457
2586,0.000,0.000,0.000,212.557,0.213,319153.984
2587,0.000,0.000,0.000,212.344,0.213,318834.830
2588,0.000,0.000,0.000,212.132,0.212,318515.995
2589,0.000,0.000,0.000,211.920,0.212,318197.479
2590,0.000,0.000,0.000,211.708,0.212,317879.281
2591,0.000,0.000,0.000,211.496,0.212,317561.402
2592,0.000,0.000,0.000,211.284,0.211,317243.841
2593,0.000,0.000,0.000,211.073,0.211,316926.597
2594,0.000,0.000,0.000,210.862,0.211,316609.670
2595,1.552,0.000,0.000,210.999,0.211,316293.061
2596,0.000,0.382,0.159,212.021,0.287,430683.486
2597,1.375,2.356,0.996,214.873,0.482,722923.984
2598,7.064,2.812,1.232,219.524,1.057,1585613.194
2599,6.273,2.071,0.962,222.670,2.028,3041820.884
2600,0.000,2.258,1.099,223.255,2.668,4001547.404
2601,0.000,0.530,0.264,222.337,2.744,4116251.590
2602,0.000,0.000,0.000,221.035,2.490,3735098.873
2603,0.000,0.000,0.000,218.883,2.151,3227206.839
2604,3.998,0.000,0.000,219.568,1.626,2439110.543
2605,0.000,3.042,1.581,222.030,1.725,2586979.939
2606,0.000,7.402,3.939,228.160,2.214,3321536.964
2607,0.109,8.194,4.537,234.146,3.511,5266551.772
2608,0.000,6.092,3.506,237.083,4.776,7164216.833
2609,3.860,4.415,2.614,239.657,5.370,8055689.706
2610,0.000,1.696,1.035,237.259,5.885,8827395.350
2611,0.000,3.334,2.061,237.257,5.306,7958583.310
2612,0.000,5.413,3.400,239.680,5.254,7880428.702
2613,0.000,6.248,4.004,242.716,5.735,8602648.938
2614,0.000,6.708,4.388,245.848,6.352,9527250.258
2615,0.000,7.913,5.281,240.576,6.989,10483404.170
2616,0.000,8.908,5.861,234.798,5.778,8666382.385
2617,0.000,5.842,3.755,230.343,4.455,6682676.838
2618,0.000,0.211,0.133,226.919,3.424,5135463.613
2619,0.000,4.189,2.650,224.300,2.619,3928714.322
2620,0.000,9.754,6.103,222.308,1.992,2987526.822
2621,0.000,11.345,6.918,220.806,1.502,2253477.443
2622,0.000,11.197,6.626,219.685,1.121,1680995.720
2623,0.000,11.571,6.648,218.862,0.823,1234536.693
2624,6.264,8.853,4.933,220.937,0.591,886375.292
2625,1.910,3.771,2.088,220.748,0.996,1494339.470
2626,4.734,2.126,1.172,221.836,0.904,1355620.109
2627,0.000,2.418,1.343,220.744,1.092,1638411.518
2628,0.000,3.533,1.950,219.943,0.801,1201703.450
2629,0.287,4.817,2.633,219.488,0.574,861147.414
2630,2.810,3.927,2.122,220.224,0.423,635084.020
2631,2.482,3.448,1.859,220.710,0.535,801782.699
2632,0.000,2.176,1.171,220.119,0.591,886395.581
2633,0.000,3.393,1.815,219.709,0.410,615511.545
2634,7.688,0.456,0.242,222.328,0.270,404297.874
2635,1.160,2.297,1.244,221.964,0.844,1265939.012
2636,8.192,1.322,0.714,224.627,0.713,1069944.932
2637,0.000,1.108,0.610,223.378,1.249,1873341.026
2638,0.000,0.448,0.246,222.455,0.924,1385634.674
2639,4.713,0.998,0.548,223.758,0.670,1005299.291
2640,1.186,2.679,1.485,223.353,0.907,1359975.095
2641,0.591,0.000,0.000,222.835,0.767,1150997.059
2642,0.000,3.288,1.818,222.232,0.603,904750.773
2643,0.000,3.459,1.897,221.811,0.420,630511.379
2644,0.000,4.941,2.685,221.590,0.278,416679.845
2645,0.000,4.169,2.236,221.368,0.222,332384.797
2646,0.000,7.749,4.112,221.147,0.221,332052.413
2647,4.299,8.642,4.493,222.181,0.221,331720.360
2648,0.000,5.207,2.681,221.684,0.497,745581.115
2649,7.103,3.791,1.926,224.099,0.338,506302.381
2650,6.614,4.469,2.298,225.875,0.819,1227982.304
2651,0.997,2.410,1.250,225.110,1.159,1739071.591
2652,0.504,1.170,0.605,224.368,0.941,1411683.707
2653,0.000,1.182,0.610,223.640,0.728,1091793.697
2654,1.305,2.913,1.499,223.635,0.518,776723.699
2655,0.000,6.607,3.388,223.168,0.467,700191.306
2656,4.205,9.099,4.586,224.436,0.314,471423.509
2657,0.000,9.793,4.885,223.885,0.551,826484.991
2658,11.886,11.996,5.832,227.911,0.380,570070.807
2659,9.842,10.261,5.032,230.376,1.216,1824076.990
2660,3.883,6.544,3.229,230.128,1.709,2562907.411
2661,6.699,6.279,3.085,231.033,1.605,2406831.576
2662,3.505,5.226,2.582,230.600,1.754,2631238.271
2663,3.879,3.171,1.563,230.449,1.609,2414035.844
2664,6.519,1.342,0.665,231.385,1.527,2290138.533
2665,1.178,3.654,1.842,230.155,1.683,2524876.552
2666,6.908,7.933,3.976,231.432,1.363,2044938.817
2667,4.129,12.679,6.365,231.418,1.595,2392663.878
2668,10.627,13.490,6.638,233.863,1.543,2314172.917
2669,5.328,12.152,5.980,233.831,2.031,3047186.436
2670,3.977,11.926,5.786,233.327,1.975,2962929.764
2671,8.082,10.120,4.824,234.448,1.815,2722912.020
2672,5.132,9.450,4.512,234.303,2.013,3019423.523
2673,12.382,8.338,3.954,236.847,1.932,2898103.742
2674,0.000,3.510,1.701,234.405,2.443,3664219.612
2675,0.000,1.962,0.942,232.548,1.857,2784761.705
2676,0.000,4.111,1.963,231.149,1.399,2098857.867
2677,6.188,4.894,2.313,232.335,1.043,1563926.130
2678,5.127,6.143,2.929,232.944,1.255,1882317.644
2679,4.452,7.394,3.532,233.225,1.340,2010125.817
2680,2.379,8.108,3.858,232.735,1.353,2029881.824
2681,2.364,5.234,2.459,232.384,1.197,1795224.092
2682,0.000,7.718,3.607,231.313,1.071,1606788.923
2683,0.000,9.773,4.476,230.526,0.787,1180550.355
2684,0.000,11.587,5.171,229.961,0.565,848157.017
2685,0.000,12.067,5.223,229.568,0.393,588962.886
2686,0.000,11.127,4.665,229.338,0.258,386864.063
